Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
Garissa Central Catholic Cathedral and AIC churches Attacks,media/garrissa.jpg,Source: New York Times,,"On 1 July 2012 at around 10:15 am, masked gunmen attacked two churches (the Central Catholic Cathedral and AIC churches in Garissa) simultaneously. The attack left around 50 injured and 17 dead. In the AIC Church the gunmen shoot at the worshipers indiscriminately while at the Catholic Church a hand grenade was detonates resulting to fewer casuaties. ",15,,red,,-0.446543,39.651052,,,,
Mini-bus (matatu) Bomb in Eastleigh,media/eastleighbomb.jpg,Source: dw.com,,"On Sunday, 18 November 2012, ten people were killed and 25 seriously injured when an explosive went off on a mass transit mini-bus (matatu) in Eastleigh",17,,red,,-1.272377,36.848988,,,,
2013,,,,,,,,,,,,,,
Westgate Mall shooting,media/1024px-Smoke_above_Westgate_mall.jpg,Source: Public domain/Wikipedia,,"On 21 September 2013, armed gunmen attacked the Westgate Shopping Mall in Nairobi, killing at least 69 people and injuring more than 175. The attack was reported to be well organised with every part of it looking to have been pre organised",17,Plain,red,,-1.256944,36.803333,,,,
Grenade attack on a minibus in Eastleigh,media/garrissa.jpg,Source: Public domain/Wikipedia,,"On 14 December 2013, a hand grenade was thrown onto a minibus in Eastleigh. The explosion killed at least 4 people and wounded 36 others",15,,red,,-1.272377,36.848988,,,,
2014,,,,,,,,,,,,,,
Gikomba Market,media/gikomba.jpg,Source: Zegabi,,"On 16 May 2014, at Gikomba Market in Nairobi, two explosions claimed the lives of more than ten people",17,,red,,-1.285624,36.841151,,,,
Mpeketoni Attack,media/mpeketoni.jpg,Source: Hiiraan,,"On 16 June 2014, at least 48 people were killed when suspected militants from Somalia launched a major assault on a police station, hotels and government offices. Around 50 gunmen drove into Mpeketoni Town near Lamu. Witnesses said they first attacked a police station and randomly shooting at civilians.",17,,red,,-2.389456,40.69778,,,,
"Bus attack, Omar Jillo, Mandera",media/manderabusattack.jpg,Source: The Guardian,,"On 22 November 2014, gunmen attacked a bus traveling from Mandera to Nairobi, killing 28 persons, mostly teachers and government workers heading to Nairobi for the December holidays. Its said the attackers killled people who could not recite an Islamic creed and were assumed to be non-Muslims.",15,Plain,red,,3.751241,41.658319,,,,
2015,,,,,,,,,,,,,,
Garissa University attack,media/garissa-university.jpg,Source: Oasis Africa,,"On 2 April 2015, gunmen stormed the Garissa University College in Garissa, Kenya, killing 148 people, and injuring 79 or more. The gunmen took over 700 students hostage, freeing Muslims and killing those who identified as Christians. The Al-Qaeda took responsibility for the attack.",17,,red,,-0.448835,39.662132,,,,
2016,,,,,,,,,,,,,,
Mini-bus (matatu) Bomb in Eastleigh,media/_92077832_mandera.jpg,Source: Capital fm,,"On Octomber 25 2016, Al Shabaab gunmen attacked  Boshari Guest house during the early morning hours. 12 people were killed. Al Shabaab claimed responsibility, claiming there target were Christians",17,,red,,3.93791,41.860949,,,,
2017,,,,,,,,,,,,,,
"Daba City, Attack",,Source: The Elephant,,"On November 6, 2017, Al-Shabab militants ambushed and burnt down two police land cruisers in an attack in Daba City, Mandera County. The two vehicles carrying police officers were escorting a bus to Mandera when they were hit by rocket-propelled grenades. 12 killed, several wounded.",17,Plain,red,,2.6143,40.869844,,,,
2018,,,,,,,,,,,,,,
Taksile Area Attack,,Source: The Elephant,,"Al-Shabaab militants claimed to have overrun a Kenyan military base in Taksile area north of Pandaguo, Lamu County. They killed 10 Kenyan soldiers.
",17,Plain,red,,-2.216513,40.483713,,,,
2019,,,,,,,,,,,,,,
Dusitd2 complex attack,media/kenya-nairobi-attack.jpg,Source: Dusitd2,,"On 15 January 2019, four gunmen attacked the DusitD2 complex at 14 Riverside Drive junction around 2.30PM. The attack resulted in 21 fatalities and few others injured. The incident was contained and was reported defussed the next day.",17,Plain,blue,,-1.27,36.803611,,,,
