Year, attacks,Actor1,Actor2,Area1,Area2,Area3,County,Event type,Notes,Source,Source Scale,Fatalities,Geo Precision,Latitude,Longitude,Number of Records
2017,2017-08-15,Al Shabaab,Police Forces of Kenya (2013-),Ijara,Ijara,Bothai,Garissa,Remote violence,"Five police officers have been killed by an Al-Shabaab IED while on patrol along Bothai-Ijara road, within Garissa County. One officer sustained injuries during the attack while another one managed to escape unhurt.",Capital FM; Kenya Standard,National,5,2,-1.549,40.4456,1
2017,2017-07-16,Al Shabaab,Military Forces of Kenya (2013-),Dadaab,Liboi,Liboi,Garissa,Remote violence,"A powerful explosion caused by a land mine, occurred in parts of NFD [Northern Frontier District, Kenya'snortheastern region], targeting Kenyan military forces and resulting in casualties in an area called Abdi Ali in Liboi town.",Radio Andalus,Regional,10,1,0.3534,40.8723,1
2017,2017-07-10,Police Forces of Kenya (2013-),Al Shabaab,Ijara,Ijara,Boni National Reserve,Garissa,Remote violence,The police have launched air strikes in Boni Forest to attack Al Shabaab fighters,Daily Nation,National,0,1,-1.5394,41.3314,1
2017,2017-06-11,Al Shabaab,Military Forces of Kenya (2013-),Dadaab,Liboi,Liboi,Garissa,Remote violence,"A KDF convoy was transporting military supplies to Somalia when it was targeted in a massive roadside explosion, just outside of Liboi town. Several soldiers wounded.",Shabelle Media Network,Regional,0,1,0.3534,40.8723,1
2017,2017-06-06,Al Shabaab,Civilians (Kenya),Dadaab,Dadaab,Dadaab Refugee Camp,Garissa,Remote violence,At least three people were killed after a car they were travelling in hit a landmine along Dadaab-Kulan road in Garissa County [eastern Kenya]. Al Shabaab believed responsible. One person escaped with injuries. The Star reports four dead.,Daily Nation; The Star,National,3,2,0.0514,40.3142,1
2017,2017-05-25,Al Shabaab,Police Forces of Kenya (2013-),Dadaab,Liboi,Liboi,Garissa,Remote violence,"At last five police officers were killed and one other injured after an Improvised Explosive Devise tore their vehicle along the Malelei-Kulan Road in Liboi, Garissa County. Al-Shabaab claimed responsibility of the attacks",The Standard,National,5,2,0.3534,40.8723,1
2017,2017-05-24,Al Shabaab,Police Forces of Kenya (2013-),Fafi,Jarajila,Hagadera Refugee Camp,Garissa,Remote violence,"On 24 May, two police officers were killed in an explosion between Malelei and Kulan in Garissa, near Hagadera refugee camp",Sunday Nation,National,2,1,0.0037,40.3746,1
2017,2017-05-24,Al Shabaab,Police Forces of Kenya (2013-),Dadaab,Liboi,Liboi,Garissa,Remote violence,"At least three policemen were killed in an IED explosions in Liboi, Garissa County, near the Kenya - Somalia border. Al-Shabaab claimed responsibility of the attacks.",The Standard,National,3,1,0.3534,40.8723,1
2017,2017-05-16,Al Shabaab,Civilians (Kenya),Dadaab,Liboi,Liboi,Garissa,Remote violence,"At least four people died on Tuesday when their vehicle set off an improvised explosive device in a small Kenyan town near the border with Somalia, police said.Al-Shabaab militants were suspected",Agence France Presse,International,4,1,0.3534,40.8723,1
2017,2017-05-09,Military Forces of Kenya (2013-),Unidentified Armed Group (Kenya),Dadaab,Liboi,Liboi,Garissa,Remote violence,"Further reports have emerged of the damage caused by an explosion that targeted a Kenyan army convoy in Garissa County, northeastern Kenya. The explosion which was a land mine attack was targeted on a Kenya army convoy in between Liboi town and Kulan village in Garissa county. Kenyan police said the explosion injured several soldiers with three sustaining serious injuries. The injured were airlifted to a hospital in the capital, Nairobi, for treatment. No one who has claimed responsibility for the attack given that al-Shabab has severally taken credit for attacks that have happened in northeastern Kenya.",Shabelle Media Network (Mogadishu),Regional,0,1,0.3534,40.8723,1
2017,2017-05-08,Military Forces of Kenya (2013-),Al Shabaab,Dadaab,Liboi,Liboi,Garissa,Remote violence,"At least six Kenyan security officers were injured in a bomb blast on Monday in the northeast region of Garissa near the Somali border. Somali militant group Al-Shabaab has claimed responsibility for the attack, saying its fighters killed four government soldiers, including two commanders.",Xinhua General News Service; Ghana News Agency (GNA),International,0,1,0.3534,40.8723,1
2017,2017-10-21,Al Shabaab,Civilians (Kenya),Ijara,Ijara,Boni National Reserve,Garissa,Violence against civilians,"Five people were injured when suspected al-Shabab militants sprayed their vehicle with bullets between Bodhei and Ijara, on the border of Lamu and Garissa counties.",Daily Nation,National,0,1,-1.5394,41.3314,1
2017,2017-08-15,Al Shabaab,Civilians (Kenya),Ijara,Ijara,Boni National Reserve,Garissa,Violence against civilians,"Women from Boni were abducted and held by Al Shabaab militants in a camp, where they were gang-raped and mistreated.",Nairobi Star,National,0,1,-1.5394,41.3314,1
2017,2017-05-31,Al Shabaab,Civilians (Kenya),Dujis,Iftin,Garissa,Garissa,Violence against civilians,"Al-Shabaab militants burned down a school and abducted two teachers in an overnight attack in Fafi, Garissa. One teacher is killed.",Shabelle Media Network (Mogadishu);Daily Nation,Regional,1,1,-0.4536,39.6461,1
2016,2016-06-20,Al Shabaab,Civilians (Kenya),Ijara,Hulugho,Hulugho,Garissa,Remote violence,One dead and three injured when an ambulance hit a suspected al-Shabaab planted land mine in Hulugho.,Daily Nation (Kenya),National,1,1,-1.15,41.0667,1
2016,2016-06-03,Military Forces of Kenya (2013-),Al Shabaab,Dadaab,Liboi,Liboi,Garissa,Remote violence,"A convoy transporting Kenyan defence forces (KDF) was targeted in a roadside bomb explosion outside Liboi town near Somali border by suspected al Shabaab. The bomb blast has destroyed one of vehicles in the convoy, causing unidentified casualties as Kenyan military did not comment on the IED attack.",Shabelle Media Network,Regional,10,1,0.3534,40.8723,1
2016,2016-11-15,Al Shabaab,Civilians (Kenya),Ijara,Ijara,Ijara,Garissa,Strategic development,"Movement of forces: Al Shabaab enters two villages in Ijara sub-county, forcing residents to hear a lecture in their local mosque.",The Standard (Kenya),National,0,2,-1.5952,40.5144,1
2016,2016-11-22,Al Shabaab,Civilians (Kenya),Dujis,Iftin,Garissa,Garissa,Violence against civilians,"Al Shabaab attacked Haluqa, outside of Garissa, targeting a Safaricom building. The attackers abducted several workers and took them into Somalia.",Shabelle Media Network (Mogadishu),Regional,0,2,-0.4536,39.6461,1
2015,2015-11-24,Al Shabaab,,Dujis,Iftin,Garissa,Garissa,Non-violent transfer of territory,"Al Shabaab overtakes Bula Golol in Garissa Country without resistance, then begins preaching to the residents. Military forces had fled the area prior to the al Shabaab arrival.",Radio Andalus,Regional,0,2,-0.4536,39.6461,1
2015,2015-11-23,Military Forces of Kenya (2013-),Al Shabaab,Ijara,Hulugho,Hulugho,Garissa,Remote violence,"A soldier was killed and six others injured in the border town of Hulugho after an Al Shabaab IED detonated. Al Shabaab, in taking credit, claims eight dead.",The Star (Nairobi),National,1,1,-1.15,41.0667,1
2015,2015-11-16,Al Shabaab,Civilians (Kenya),Fafi,Jarajila,Hagadera,Garissa,Violence against civilians,Al Shabaab kidnaps a teacher at a refugee camp Hagadera. The victim was rescued four days later.,Kenya Standard,National,0,1,0.0095,40.3756,1
2015,2015-10-12,Al Shabaab,Civilians (Kenya),Fafi,Jarajila,Hagadera,Garissa,Violence against civilians,A teacher is kidnapped by suspected al Shabaab in Hagadera refugee camp. The teacher was later rescued by Kenyan forces across the border into Somalia.,Daily Nation (Kenya),National,0,1,0.0095,40.3756,1
2015,2015-04-02,Al Shabaab,Civilians (Kenya),Dujis,Iftin,Garissa,Garissa,Violence against civilians,Al Shabaab gunmen attack Garissa University during the morning hours in an operation that lasted the majority of the day. Almost all of the 148 people killed were students and another 79 people were injured.,Agence France Presse; BBC News,International,148,1,-0.4536,39.6461,1
2014,2014-01-08,Police Forces of Kenya (2013-),Unidentified Armed Group (Kenya),Dadaab,Dadaab,Dadaab Refugee Camp,Garissa,Remote violence,"Three IEDs were detonated in the vicinity of firewood distribution centre in IFO 1 (Dadaab District) in the morning of 08/12. Reports indicate that the first explosion targeted the rear police escort vehicle of the regular morning convoy to IFO 1 and Dagahaley. The second set targeted the police responders, of whom a number had by then arrived at the scene. No one was injured by any of the blasts. The police vehicle initially targeted by the perpetrators only sustained slight damages. There were gunshots fired by the police after the second explosion. One man was injured in its aftermath, trampled by a panicked crowd running from the scene.",Local Source Project,Local,0,1,0.0514,40.3142,1
2014,2014-08-18,Al Shabaab,Civilians (Kenya),Ijara,Ijara,Bothai,Garissa,Violence against civilians,"A khat driver is kidnapped by al Shabaab while three of his colleagues were attacked, robbed and released as they travelled in or near Bothai, possibly Kiunga. It was later learned the driver was beheaded sometime later.",Kenya Standard,National,1,2,-1.549,40.4456,1
2014,2014-08-13,Al Shabaab,Civilians (Kenya),Dujis,Iftin,Garissa,Garissa,Violence against civilians,"Two casual laborious were shot dead by unknown assailants, later suspected to al Shabaab in the outskirts of Garissa town on the evening of 13/08.",The Star (Nairobi),National,2,1,-0.4536,39.6461,1
2014,2014-05-20,Al Shabaab,Civilians (Kenya),Dujis,Iftin,Garissa,Garissa,Violence against civilians,"Suspected al-Shabaab militants hurled grenades in co-ordinated attacks against civilians in Garissa town Tuesday evening (May 20th), injuring ten people.",Sabahi,Regional,0,1,-0.4536,39.6461,1
2014,2014-04-23,Al Shabaab,Civilians (Kenya),Fafi,Jarajila,Hagadera Refugee Camp,Garissa,Violence against civilians,"Two to four armed men, suspected to be al Shabaab, approached a vehicle (a UN agency vehicle) of the Kambioos-bound convoy stationed along the Hagadera hospital road and shot the driver on the right arm in the morning of 23/04. The second occupant of the car, an expatriate staff managed to get off the car and ran towards the nearest INGO compound for help. Both of the driver and the expatriate are currently safe with the driver undergoing treatment at the Hagadera hospital. The perpetrators escaped with the vehicle and drove south-east of Hagadera for approximately 30 km when the vehicle was remotely disabled, prompting the perpetrators to leave the car. Police reached the scene and were combing the area for the perpetrators. The attack was ;later revealed to be a kidnapping attempt against the UN staffers.",Local Source Project,Local,0,2,0.0037,40.3746,1
2013,2013-12-30,Police Forces of Kenya (2013-),Unidentified Armed Group (Kenya),Dadaab,Dadaab,Dadaab Refugee Camp,Garissa,Remote violence,An explosive device believed to be an IED targeted a police vehicle in the vicinity of Juba Primary School in Dagahley Camp in Dadaab District in the morning of 30/12. The police vehicle was escorting an NGO vehicle carrying out borehole refuelling. One police officer was reportedly injured by the explosion. The vehicle was severely damaged.,Local Source Project,Local,0,1,0.0514,40.3142,1
2013,2013-02-17,Al Shabaab,,Dujis,Iftin,Garissa,Garissa,Remote violence,Three suspected bombers killed when the bomb they were planting blew up. The police suspect a link with Al Shabaab,Xinhua,International,3,1,-0.4536,39.6461,1
2013,2013-01-31,Unidentified Armed Group (Kenya),Police Forces of Kenya (2002-2013),Dadaab,Dadaab,Dadaab Refugee Camp,Garissa,Remote violence,"IED explodes in Dadaab refugee camp, injuring three police officers",Sabahi (All Africa),Regional,0,1,0.0514,40.3142,1
2013,2013-01-17,Al Shabaab,,Fafi,Jarajila,Hagadera Refugee Camp,Garissa,Remote violence,Two suspected Al Shabaab bombers died when explosives they were carrying went off,Agence France Presse,International,2,1,0.0037,40.3746,1
2013,2013-12-10,Al Shabaab,Civilians (Kenya),Dadaab,Liboi,Liboi,Garissa,Violence against civilians,"Al Shabaab launches an attack on a border town, killing three civilians and five police. Liboi hosts an AMISOM military, often used to supply forces in Somalia.",Agence France Presse,International,3,1,0.3534,40.8723,1
2013,2013-10-17,Al Shabaab,Civilians (Kenya),Dadaab,Dadaab,Dadaab Refugee Camp,Garissa,Violence against civilians,Two masked men armed with AK type rifles came to a small cinema in block N-29 of IFO 1 in Dadaab District in the night of 17/10. The motive of the attack is unknown. Six people were injured in the attack. The perpetrators escaped. It is believed the attackers are affiliated with al Shabaab.,Xinhua News,International,0,1,0.0514,40.3142,1
2013,2013-09-26,Al Shabaab,Civilians (Kenya),Dadaab,Dadaab,Dadaab Refugee Camp,Garissa,Violence against civilians,"Suspected al Shabaab attack Ifo refugee camp in Dadaab, targeting an international aid organization staff residence in the refugee camp, which is one among the five open air complex camps in region. There was no injury.",Xinhua,International,0,1,0.0514,40.3142,1
2013,2013-07-03,Al Shabaab,Civilians (Kenya),Ijara,Hulugho,Hulugho,Garissa,Violence against civilians,"40 people, including two government officials, were held hostage by gunmen suspected to be al Shabaab militia from Somalia in Hullugho border town. The gunmen apprehended the group while the were travelling from Masalani.",Kenya Standard,National,0,1,-1.15,41.0667,1
2013,2013-06-03,Al Shabaab,Civilians (Kenya),Dadaab,Liboi,Liboi,Garissa,Violence against civilians,Suspected al Shabaab gunmen kill two Kenyans who were carrying supplies near the border with Somalia,Xinhua,International,0,1,0.3534,40.8723,1
2013,2013-02-21,Al Shabaab,Civilians (Kenya),Dadaab,Liboi,Liboi,Garissa,Violence against civilians,Suspected Al Shabaab gunmen kill seven people who were on their way to prayers at a mosque,The Star,National,7,1,0.3534,40.8723,1
2013,2013-01-16,Al Shabaab,Civilians (Kenya),Dujis,Iftin,Garissa,Garissa,Violence against civilians,Gunmen with suspected links to Al Shabab attack hotel; five killed,The Standard,National,5,1,-0.4536,39.6461,1
2012,2012-12-09,Al Shabaab,Military Forces of Kenya (2002-2013),Dujis,Iftin,Garissa,Garissa,Battle-No change of territory,Armed group linked to Al Shabaab attacks military and kills one,The Standard,National,1,1,-0.4536,39.6461,1
2012,2012-11-19,Al Shabaab,Military Forces of Kenya (2002-2013),Dujis,Iftin,Garissa,Garissa,Battle-No change of territory,Al Shabaab members kill three Kenyan soldiers,Human Rights Watch,Other,3,1,-0.4536,39.6461,1
2012,2012-01-11,Al Shabaab,Police Forces of Kenya (2002-2013),Dujis,Iftin,Garissa,Garissa,Battle-No change of territory,"Somali Islamist rebels stormed a remote police camp in northeastern Kenya, killing seven people and kidnapping three. The town was four miles from the border and known as Gerille. Among the dead were three police, a civil servant, school teacher and a pregnant woman.",Reuters News,International,3,3,-0.4536,39.6461,1
2012,2012-12-14,Unidentified Armed Group (Kenya),Civilians (Kenya),Dadaab,Labasigale,Ifo Refugee Camp,Garissa,Remote violence,Explosive device planted near voter registration centre injures one,The Star,National,0,1,0.11,40.3135,1
2012,2012-09-21,Police Forces of Kenya (2002-2013),Al Shabaab,Dujis,Iftin,Garissa,Garissa,Remote violence,IED attack blamed on al Shabaab; police and civilians injured,Xinhua,International,0,1,-0.4536,39.6461,1
2012,2012-07-25,Al Shabaab,Civilians (Kenya),Dadaab,Dadaab,Dadaab Refugee Camp,Garissa,Remote violence,Vehicle in refugee camp hits explosive device; six wounded,Reuters,International,0,1,0.0514,40.3142,1
2012,2012-06-15,Unidentified Armed Group (Kenya),Civilians (Kenya),Dadaab,Dadaab,Dadaab Refugee Camp,Garissa,Remote violence,IED explodes in Dadaab refugee camp. Human rights leader thought to be the target,Agence France Presse,International,0,1,0.0514,40.3142,1
2012,2012-05-15,Unidentified Armed Group (Kenya),Civilians (Kenya),Dadaab,Dadaab,Dadaab Refugee Camp,Garissa,Remote violence,Suspected RCIED detonated killing one police officer as they were accompanying NGO workers.,Reuters,International,1,1,0.0514,40.3142,1
2012,2012-06-21,Al Shabaab,,Dadaab,Liboi,Liboi,Garissa,Strategic development,Weapons Seizure: Suspected Al Shabaab sympathizers hijack public service vehicle near Somali border,Xinhua,International,0,1,0.3534,40.8723,1
2012,2012-11-04,Al Shabaab,Civilians (Kenya),Dujis,Iftin,Garissa,Garissa,Violence against civilians,Grenade attack on church blamed on Al Shabaab,IHS Global Insight Daily Analysis,International,1,1,-0.4536,39.6461,1
2012,2012-10-17,Al Shabaab,Civilians (Kenya),Dadaab,Liboi,Liboi,Garissa,Violence against civilians,Suspected Al Shabaab militants kill mobile phone company employee,Xinhua,International,1,2,0.3534,40.8723,1
2012,2012-10-15,Al Shabaab,Civilians (Kenya),Dadaab,Labasigale,Ifo Refugee Camp,Garissa,Violence against civilians,Gunmen kill official in refugee camp; perpetrators believed to be linked to Al Shabaab,Somali Puntlandpost,Regional,1,1,0.11,40.3135,1
2012,2012-07-01,Al Shabaab,Civilians (Kenya),Dujis,Iftin,Garissa,Garissa,Violence against civilians,Seventeen killed in church attack; Al Shabaab claimed responsibility though investigators did not confirm that they were involved,Capital FM,National,17,1,-0.4536,39.6461,1
2012,2012-06-29,Al Shabaab,Civilians (Kenya),Dadaab,Dadaab,Dadaab Refugee Camp,Garissa,Violence against civilians,Foreign aid workers kidnapped and Kenyan driver killed in attack thought to be the work of Al Shabaab,UN IRIN,Other,1,1,0.0514,40.3142,1
2012,2012-01-11,Al Shabaab,Civilians (Kenya),Dujis,Iftin,Garissa,Garissa,Violence against civilians,"Somali Islamist rebels stormed a remote police camp in northeastern Kenya, killing seven people and kidnapping three. The town was four miles from the border and known as Gerille. Among the dead were three police, a civil servant, school teacher and a pregnant woman.",Reuters News,International,4,3,-0.4536,39.6461,1
2011,2011-11-16,Al Shabaab,Police Forces of Kenya (2002-2013),Dujis,Iftin,Garissa,Garissa,Battle-No change of territory,"Kenyan police make a second raid in the same area and kill 12 suspected al Shabaab fighters, and arrest several more.",All Africa,Regional,12,3,-0.4536,39.6461,1
2011,2011-11-13,Al Shabaab,Police Forces of Kenya (2002-2013),Dujis,Iftin,Garissa,Garissa,Battle-No change of territory,"Kenyan police kill six al Shabaab fighters, wound six others and make several arrests during a raid.",All Africa,Regional,6,3,-0.4536,39.6461,1
2011,2011-03-31,Al Shabaab,Police Forces of Kenya (2002-2013),Dadaab,Liboi,Liboi,Garissa,Battle-No change of territory,"Somalias Al-Shabab militia crossed into Kenya and attacked a police station. The attackers launched a rocket-propelled grenade on the Liboi Police Station at the Liboi border in, northeastern, but no injury was reported.",BBC Monitoring International Reports,Regional,0,1,0.3534,40.8723,1
2011,2011-12-19,Unidentified Armed Group (Kenya),Police Forces of Kenya (2002-2013),Dadaab,Dadaab,Dadaab Refugee Camp,Garissa,Remote violence,A remote controlled blast in a refugee camp kills one police officer and injures two others.,Reuters,International,1,1,0.0514,40.3142,1
2011,2011-11-15,Al Shabaab,Civilians (Kenya),Dadaab,Dadaab,Dadaab Refugee Camp,Garissa,Remote violence,A landmine blast kills a civilian and a police officer near a camp. Al Shabaab is believed to be responsible.,Agence France Presse,International,1,1,0.0514,40.3142,1
2011,2011-10-28,Unidentified Armed Group (Kenya),Police Forces of Kenya (2002-2013),Dujis,Iftin,Garissa,Garissa,Remote violence,A roadside style bomb explodes near a military transport wounding four passengers. Al Shabaab believed to be involved.,Reuters,International,0,1,-0.4536,39.6461,1
2011,2011-08-17,Unidentified Armed Group (Kenya),Civilians (Kenya),Dujis,Iftin,Ade Dertu,Garissa,Remote violence,A child is killed and three others injured when the group came across a hand grenade when they were grazing their animals.,The Star,National,1,1,-0.3505,39.7798,1
2011,2011-12-29,Al Shabaab,Civilians (Kenya),Dadaab,Dadaab,Dadaab Refugee Camp,Garissa,Violence against civilians,A member of Al Shabaab shoots and kills a UNHCR official in a refugee camp. Five were later arrested.,BBC Monitoring Africa,Regional,1,1,0.0514,40.3142,1
2011,2011-01-07,Al Shabaab,Civilians (Kenya),Dadaab,Dadaab,Dadaab Refugee Camp,Garissa,Violence against civilians,A Kenyan herder was on Friday killed in Somalia by members of the Islamist group Al Shabaab for refusing to part with his five camels as payment for a yearly tax. He is reported to have been shot on the head several times before his entire stock of camels was confiscated.,The Nation (Kenya),National,1,1,0.0514,40.3142,1
2010,2010-07-19,Al Shabaab,Police Forces of Kenya (2002-2013),Dadaab,Liboi,Liboi,Garissa,Battle-No change of territory,Al-Shabab members clash with police and security forces at a Kenya-Somalia border town.,Al Jazeera,International,0,1,0.3534,40.8723,1
2010,2010-07-14,Al Shabaab,Police Forces of Kenya (2002-2013),Dujis,Iftin,Garissa,Garissa,Strategic development,Arrests: Kenyan police arrest dozens men believed to be in connection with the recent Ugandan bombing in the city of Kampala.,Voice of America,International,0,3,-0.4536,39.6461,1
2010,2010-04-15,Al Shabaab,,Dadaab,Liboi,Liboi,Garissa,Strategic development,"Property destruction: Al Shabaab raids a desolate Kenyan border town, attack two hotels causing property damage, but no causalities.",All Africa,Regional,0,1,0.3534,40.8723,1
2008,2008-05-29,Al Shabaab,Police Forces of Kenya (2002-2013),Dadaab,Liboi,Liboi,Garissa,Battle-No change of territory,"Suspected Somali Islamist militia attacked Kenyan policemen holding three men, including two British nationals of Somali extraction, who had crossed into Kenya illegally. LOCATION: Liboi and nearby Dajajabula, Dhoobley areas (Kenyan side of the border wi",BBC Monitoring,Regional,4,2,0.3534,40.8723,1
2015,2015-06-08,Al Shabaab,,Isiolo South,Garbatulla,Garba Tula,Isiolo,Strategic development,"Non-violent activity: Al Shabaab reportedly erects a series of road blocks between Garba Tula and Modogashe townships [north-eastern Kenya] for purposes of extorting money from motorists. Despite these assertions, the local government denies these claims. Exact date unknown.",Daily Nation (Kenya),National,0,1,0.5333,38.52,1
2014,2014-12-03,Al Shabaab,Civilians (Kenya),Isiolo South,Sericho,Mado Gashi,Isiolo,Violence against civilians,Al Shabaab lines and executes 15 non-Muslim farmers by firing squad in Mado Gashi.,Universal TV,Other,15,1,0.7305,39.1724,1
2000,2000-09-06,Police Forces of Kenya (1978-2002),Civilians (Kenya),Isiolo North,Wabera,Qarandare,Isiolo,Remote violence,Reports claim that police bombed civilians while pursuing bandits,BBC Monitoring,Regional,0,2,0.35,37.5833,1
2011,2011-05-09,Unidentified Armed Group (Kenya),Civilians (Kenya),Kajiado North,Ngong,Ngong,Kajiado,Remote violence,"Two more bombs were found in Ngong on Monday, a few hours after a fifth victim of Sundays blast died in hospital.",The Nation (Kenya),National,0,1,-1.3667,36.65,1
2011,2011-05-08,Unidentified Armed Group (Kenya),Civilians (Kenya),Kajiado North,Ngong,Ngong,Kajiado,Remote violence,"Four children were killed on Sunday and another seriously hurt when an explosive device they found in an empty field with went off. The device, which police described as an anti-personnel bomb -- the round fired from a mortar -- was almost certainly an unexploded munition from the nearby Ngong Range, used for training by the military and police.",The Nation (Kenya),National,4,1,-1.3667,36.65,1
2013,2013-05-19,Al Shabaab,Police Forces of Kenya (2002-2013),Ruiru,Kiuu,Githurai,Kiambu,Battle-No change of territory,Police kill two terror suspects in shoot-out.,The Star,National,2,1,-1.2065,36.9137,1
1997,1997-02-23,Unidentified Armed Group (Kenya),Civilians (Kenya),Kiambu,Riabai,Kikuyu Township,Kiambu,Remote violence,"A student leader is killed after a bomb explodes in his dorm room. It is possible that this incident was an accident, but it could be intentional, as his had a history of political involvement and had received death threats in the past.",Xinhua; Associated Press,International,1,1,-1.1666,36.8333,1
2018,2018-12-29,Unidentified Armed Group (Kenya),Civilians (Kenya),Kinango,Chengoni/Samburu,Silaloni,Kwale,Remote violence,29 December: Two children were killed by explosive devices while herding in Samburu. No group has claimed responsibility,NTV (Kenya),National,2,2,-3.6169,39.2869,1
2017,2017-10-10,Al Shabaab,Civilians (Kenya),Msambweni,Gombato Bongwe,Ukunda,Kwale,Violence against civilians,"On 10 October, gunmen killed two female employees of a university in Ukunda, in a suspected extremist attack.",Shabelle Media Network (Mogadishu),Regional,2,1,-4.2875,39.5661,1
2016,2016-07-05,Al Shabaab,Civilians (Kenya),Msambweni,Gombato Bongwe,Mbuwani,Kwale,Violence against civilians,Al Shabaab attacks and kills a civilian in their home in Mbuwani.,Daily Nation (Kenya),National,1,1,-4.3067,39.5188,1
2016,2016-05-31,Al Shabaab,Civilians (Kenya),Matuga,Tsimba Golini,Kwale,Kwale,Violence against civilians,Armed men believed to be members of Al-Shabaab have killed three people in Kwale in Kenyas coastal region. The Kenyan government said the people killed were elders. Reports say that masked armed men arrived at the coastal town and hounded the people out of their homes and killed them in an open field.,Radio Kulmiye,Regional,3,1,-4.1737,39.4521,1
2012,2012-11-16,Al Shabaab,Civilians (Kenya),Matuga,Waa,Ngombeni,Kwale,Violence against civilians,Grenade attack blamed on Al Shabaab injures three,The Star,National,0,1,-4.1293,39.6284,1
2018,2018-09-25,Al Shabaab,Military Forces of Kenya (2013-),Lamu West,Shella,Lamu,Lamu,Battle-No change of territory,"On September 25th, a pro-Al Shabaab radio station reported that Al Shabaab forces had attacked a KDF camp at Taksile, north of Lamu (coordinates for Lamu used). According to the source, 10 KDF soldiers were killed, and three Al Shabaab fighters were also killed.",BBC Monitoring; Radio Andalus,International,13,2,-2.2717,40.902,1
